patent_no; page; iupac
11548899; 0; N-(3-bromo-2-formylphenyl)-2-chloroacetamide
11548899; 0; N-(3-bromo-2-(hydroxymethyl)phenyl)-2-chloroacetamide
11548899; 1; 6-bromo-3,5-dihydrobenzo[e][1,4]oxazepin-2(1H)-one
11548899; 1; 7-bromo-1-methyl-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepine
11548899; 1; 1-methyl-N-phenyl-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepin-7-amine
11548899; 2; 7-benzyl-1-methyl-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepine
11548899; 2; 1-methyl-1-(phenylthio)-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepine
11548899; 2; 1-methyl-7-(phenylsulfinyl)-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepine
11548899; 3; 1-methyl-7-(phenylsulfonyl)-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepine
11548899; 3; 1-methyl-7-(1-phenylvinyl)-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepine
11548899; 3; 7-(1H-inden-3-yl)-1-methyl-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepine
11548899; 4; 1-methyl-7-(4-(trifluoromethoxy)benzyl)-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepine
11548899; 4; 1-methyl-7-(1-phenylethyl)-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepine
11547701; 0; N-(4-(N-(2-(trifluoromethoxy)phenyl)sulfamoyl)benzyl)-1H-pyrrolo[3,2-c]pyridine-2-carboxamide
11547701; 1; N-(4-(phenylsulfonyl)benzyl)-1H-pyrrolo[3,2-c]pyridine-2-carboxamide
11547701; 1; 3-bromo-N-(4-(phenylsulfonyl)benzyl)-1H-Pyrrolo[3,2-c]pyridine-2-carboxamide
11548880; 0; (S)-2-hydroxy-6-((1-(2-(2-hydroxyethyl)nicotinoyl)piperidin-2-yl)methoxy)benzaldehyde
11548899; 0; N-(3-bromo-2-formylphenyl)-2-chloroacetamide
11548899; 0; N-(3-bromo-2-(hydroxymethyl)phenyl)-2-chloroacetamide
11548899; 1; 6-bromo-3,5-dihydrobenzo[e][1,4]oxazepin-2(1H)-one
11548899; 1; 7-bromo-1-methyl-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepine
11548899; 1; 1-methyl-N-phenyl-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepin-7-amine
11548899; 2; 7-benzyl-1-methyl-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepine
11548899; 2; 1-methyl-1-(phenylthio)-4,6-dihydrobenzo[e][1,2,4]triazolo[3,4-c][1,4]oxazepine
